wd_cl,ac_r,root,mn,pr,pjr,poj,era,lg_c
拟态,,kiko,（方言）老当益壮、自足、张望。,,,*kiko,方言,日
拟态,,kiku,摩擦、棱角分明。,,,*kiku,LMJ,日
拟态・拟象,,kura,态：沸腾、摇晃；象：头晕目眩。（摇晃、头晕目眩义应与 kura（暗）有关）,,,*kura,LMJ,日|琉
拟象,,kuro,象：头晕目眩。,,,*kuro,EMJ,日
拟象,,ren,象：（东北）悠闲。,,,*ren,方言,日
拟声,,rero,声：弹舌声。,,,*rero,MdJ,日
拟声,,rin,声：铃声等清脆的声音。,,,*rin,LMJ,日
拟象,,rori,象：不安。,,,*rori,LMJ,日
拟象,,run,象：心情兴奋。,,,*run,MdJ,日
拟声,,ryuu,声：锐利物体快速移动的声音。,,,*riu = *ryuu,MdJ,日
拟态,,sira,沸腾。,,,*sira,LMJ,日
拟态,,tiga,单腿走路、（方言）眨眼。,,,*tiga,MdJ,日
拟态,,tika,发光、刺眼。,,,*tika,MdJ,日
拟声・拟态,,wa,声：哇、嗡、犬吠；态：喧闹、快速（哇地一下）。,,,*wa,LMJ,日
拟态,,wada,态：战战兢兢。,,,*wada,EMJ,日
拟态,,wagu,态：张大嘴咬。,,,*wagu,MdJ,日
拟态,,waiya,态：喧闹、混乱、进展不顺。,,,*waiya,MdJ,日
拟态,,wako,态：眯眼睛。,,,*wako,LMJ,日
拟态,,waku,象：心情躁动。,,,*waku,MdJ,日
拟态,A,wana,象：（因恐惧、紧张、寒冷等）战栗。,,,*wana,OJ,日
拟态,,wani,态：圆润丰满。,,,*wani,MdJ,日
拟态,,wansa,态：人多混乱。,,,*wansa,LMJ,日
拟声,,wapa,声：大声喊叫。,,,*wapa,LMJ,日
拟态・拟象,,wara,态：混乱、易燃；象：快活（来自 *wara（笑））。,,,*wara,EMJ,日
拟态,,wari,态：广受好评。,,,*wari,MdJ,日
拟态,,wasa,态：有活力；人多混乱；声：风吹动草和树叶。,,,*wasa,LMJ,日
拟声,,wasi,声：多人说话。,,,*wasi,LMJ,日
拟态,,wata,态：平静；（东北）竭尽全力。,,,*wata,MdJ,日
拟态,,wati,态：（东北）强硬。,,,*wati,方言,东北日
拟态,,waya,声：哇呀；态：多人喧闹。,,,*waya,LMJ,日
拟态,,wazi,态：发抖。,,,*wadi,LMJ,日
形,A,暗,黑暗的。,*kura,*kura,*kura,OJ,日|琉
形,B,白,白色的。,*sira,*sira,*sira,OJ,日|琉
名,2.3,倉,仓库。,*kura,*kura,*kura,EMJ,日|琉
自动,?A,侘,沮丧、寂寞。,,,*wabu,OJ,日
名,,蟾,（九州）蟾蜍、青蛙。,*wakU,*wakU,*waku,九州,九|北琉冲
名,2.1,城,城。,*sero,*serǝ,*sirǝ,OJ,日|琉
名,2.1,代,替代品。,*siro,*sirǝ,*sirǝ,OJ,日|琉
形,B,悪,不好的。,*waro,*waro,*waro,EMJ,日|琉
名,2.3,鰐,（上代）鲨鱼、（中古）鲨鱼。,,,*wani,OJ,日
名,,発情,（南琉球宫古）发情。,宮古 *sirare,,,琉球语,南琉宫
自动,A,沸,沸腾。,*wak,*wak,*wak,EMJ,日|琉
他动,B,分,区别、分开。,*wak,*wak,*wak,OJ,日|琉
名,2.4,藁,晒干的稻子、麦子等。,*wara,*wara,*wara,EMJ,日|琉
他动,A,割,破坏、破裂、分割。,*war,*war,*war,EMJ,日|琉
名,,共同作業,（琉球）两人以上合力办事。,*waku,,,,琉
名,?2.1,海,海（琉球用派生形式）。,*wata,*wata,*wata,OJ,日|琉
名,1.3a,環,圆环。,*wa,*wa,*wa,OJ,日|琉
形动・副,3.7b,僅,微少。,*wadu,*waNtu,*wadu,OJ,日|琉
形,B,近,近的。,*tika,*tika,*tika,OJ,日|琉
名,,京,古代朝鲜半岛国名。徐罗伐。,*si.pǝri,*siǝ.ra.pǝri,"*sǝ.pǝri, *si.ra",半岛日语,朝|日|琉
名,?2.2a,鷲,鹫。,*wasi,*wasi,*wasi,,日|琉
名,3.4,蕨,蕨。,*wara.bi,*wara.bi,*wara.Npi,OJ,日|琉
他动,,開,（西中国以西）撬开。,,,*wazik,方言,西日
自动,A,利,起效。,*kik,*kik,*kik,EMJ,日|琉
名,2.3,棉,棉、人的腹部或其内容物（肠）。,*wata,*wata,*wata,OJ,日|琉
名,4.3,木天蓼,木天蓼。,,,*watata.bi,EMJ,日
名,,畔,田间土堤。,,,*kuro,EMJ,日
名,,雀,（琉球）麻雀。,*kura,,,琉球语,琉
形,,若,年幼的。,*waka,*waka,*waka,OJ,日|琉
名,?3.3,山葵,山葵。,,,*wasa.bi,OJ,日
他动,A,食,进食。,*kurap,*kurap,*kurap,EMJ,日|琉
名,?3.7a/b,水母,水母。,,,*kurage,OJ,日
名,3.5b,童,儿童。,*wara,*warapa,*warapa,EMJ,日|琉
他动,A,忘,忘记。,*wasu,*wasu,*wasu,OJ,日|琉
他动,A,聞,听。,*kiko,*kikǝ,*kikǝ,OJ,日|琉
代,1.3a,我,第一人称（自反？）。,*wa,*wa,*wa,OJ,日
自动,A,笑,笑。,*wara,*wara,*wara,OJ,日|琉
名,2.2b,業,具有深刻意义或重大意图的行为或活动。,*waza,*waNsa,*waza,OJ,日|琉
名,,早稲,成熟较早的水稻。,,,*wasɛ,OJ,日
名,2.3,枠,卷线的工具。,*waku,*waku,*waku,EMJ,日|琉
名,2.2b,座,（马上的）座位。,*kura,*kora,*kura,EMJ,日|琉
